"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value","disease"
"DE","00+",2024-11-21,2024-11-17,0,"mean",NA,14137,"sari"
"DE","00+",2024-11-21,2024-11-17,0,"quantile",0.025,13038,"sari"
"DE","00+",2024-11-21,2024-11-17,0,"quantile",0.1,13373,"sari"
"DE","00+",2024-11-21,2024-11-17,0,"quantile",0.25,13701,"sari"
"DE","00+",2024-11-21,2024-11-17,0,"quantile",0.5,14098,"sari"
"DE","00+",2024-11-21,2024-11-17,0,"quantile",0.75,14531,"sari"
"DE","00+",2024-11-21,2024-11-17,0,"quantile",0.9,14952,"sari"
"DE","00+",2024-11-21,2024-11-17,0,"quantile",0.975,15458,"sari"
"DE","00+",2024-11-21,2024-11-10,-1,"mean",NA,13322,"sari"
"DE","00+",2024-11-21,2024-11-10,-1,"quantile",0.025,12945,"sari"
"DE","00+",2024-11-21,2024-11-10,-1,"quantile",0.1,13054,"sari"
"DE","00+",2024-11-21,2024-11-10,-1,"quantile",0.25,13165,"sari"
"DE","00+",2024-11-21,2024-11-10,-1,"quantile",0.5,13303,"sari"
"DE","00+",2024-11-21,2024-11-10,-1,"quantile",0.75,13459,"sari"
"DE","00+",2024-11-21,2024-11-10,-1,"quantile",0.9,13615,"sari"
"DE","00+",2024-11-21,2024-11-10,-1,"quantile",0.975,13806,"sari"
"DE","00+",2024-11-21,2024-11-03,-2,"mean",NA,13520,"sari"
"DE","00+",2024-11-21,2024-11-03,-2,"quantile",0.025,13310,"sari"
"DE","00+",2024-11-21,2024-11-03,-2,"quantile",0.1,13360,"sari"
"DE","00+",2024-11-21,2024-11-03,-2,"quantile",0.25,13417,"sari"
"DE","00+",2024-11-21,2024-11-03,-2,"quantile",0.5,13499,"sari"
"DE","00+",2024-11-21,2024-11-03,-2,"quantile",0.75,13599,"sari"
"DE","00+",2024-11-21,2024-11-03,-2,"quantile",0.9,13708,"sari"
"DE","00+",2024-11-21,2024-11-03,-2,"quantile",0.975,13851,"sari"
"DE","00+",2024-11-21,2024-10-27,-3,"mean",NA,13556,"sari"
"DE","00+",2024-11-21,2024-10-27,-3,"quantile",0.025,13468,"sari"
"DE","00+",2024-11-21,2024-10-27,-3,"quantile",0.1,13468,"sari"
"DE","00+",2024-11-21,2024-10-27,-3,"quantile",0.25,13468,"sari"
"DE","00+",2024-11-21,2024-10-27,-3,"quantile",0.5,13468,"sari"
"DE","00+",2024-11-21,2024-10-27,-3,"quantile",0.75,13499,"sari"
"DE","00+",2024-11-21,2024-10-27,-3,"quantile",0.9,13702,"sari"
"DE","00+",2024-11-21,2024-10-27,-3,"quantile",0.975,14328,"sari"
"DE","00+",2024-11-28,2024-11-24,0,"mean",NA,13797,"sari"
"DE","00+",2024-11-28,2024-11-24,0,"quantile",0.025,13158,"sari"
"DE","00+",2024-11-28,2024-11-24,0,"quantile",0.1,13364,"sari"
"DE","00+",2024-11-28,2024-11-24,0,"quantile",0.25,13558,"sari"
"DE","00+",2024-11-28,2024-11-24,0,"quantile",0.5,13784,"sari"
"DE","00+",2024-11-28,2024-11-24,0,"quantile",0.75,14022,"sari"
"DE","00+",2024-11-28,2024-11-24,0,"quantile",0.9,14247,"sari"
"DE","00+",2024-11-28,2024-11-24,0,"quantile",0.975,14509,"sari"
"DE","00+",2024-11-28,2024-11-17,-1,"mean",NA,14131,"sari"
"DE","00+",2024-11-28,2024-11-17,-1,"quantile",0.025,13836,"sari"
"DE","00+",2024-11-28,2024-11-17,-1,"quantile",0.1,13926,"sari"
"DE","00+",2024-11-28,2024-11-17,-1,"quantile",0.25,14015,"sari"
"DE","00+",2024-11-28,2024-11-17,-1,"quantile",0.5,14121,"sari"
"DE","00+",2024-11-28,2024-11-17,-1,"quantile",0.75,14236,"sari"
"DE","00+",2024-11-28,2024-11-17,-1,"quantile",0.9,14348,"sari"
"DE","00+",2024-11-28,2024-11-17,-1,"quantile",0.975,14481,"sari"
"DE","00+",2024-11-28,2024-11-10,-2,"mean",NA,13423,"sari"
"DE","00+",2024-11-28,2024-11-10,-2,"quantile",0.025,13284,"sari"
"DE","00+",2024-11-28,2024-11-10,-2,"quantile",0.1,13324,"sari"
"DE","00+",2024-11-28,2024-11-10,-2,"quantile",0.25,13364,"sari"
"DE","00+",2024-11-28,2024-11-10,-2,"quantile",0.5,13415,"sari"
"DE","00+",2024-11-28,2024-11-10,-2,"quantile",0.75,13473,"sari"
"DE","00+",2024-11-28,2024-11-10,-2,"quantile",0.9,13532,"sari"
"DE","00+",2024-11-28,2024-11-10,-2,"quantile",0.975,13604,"sari"
"DE","00+",2024-11-28,2024-11-03,-3,"mean",NA,13551,"sari"
"DE","00+",2024-11-28,2024-11-03,-3,"quantile",0.025,13468,"sari"
"DE","00+",2024-11-28,2024-11-03,-3,"quantile",0.1,13468,"sari"
"DE","00+",2024-11-28,2024-11-03,-3,"quantile",0.25,13468,"sari"
"DE","00+",2024-11-28,2024-11-03,-3,"quantile",0.5,13468,"sari"
"DE","00+",2024-11-28,2024-11-03,-3,"quantile",0.75,13497,"sari"
"DE","00+",2024-11-28,2024-11-03,-3,"quantile",0.9,13689,"sari"
"DE","00+",2024-11-28,2024-11-03,-3,"quantile",0.975,14280,"sari"
"DE","00+",2024-12-05,2024-12-01,0,"mean",NA,13731,"sari"
"DE","00+",2024-12-05,2024-12-01,0,"quantile",0.025,13275,"sari"
"DE","00+",2024-12-05,2024-12-01,0,"quantile",0.1,13425,"sari"
"DE","00+",2024-12-05,2024-12-01,0,"quantile",0.25,13565,"sari"
